Sample,Reverse reads with adapter,Total reads for sample,run.name,Proportion with adapter
z0196838_GTseek_030_384i5_363_Mnov_F11_R1.fastq.gz,12046,82478,Val,0.146051068
z0196774_GTseek_030_384i5_351_Mnov_H10_R1.fastq.gz,11124,75749,Val,0.146853424
z0196733_GTseek_030_384i5_339_Mnov_B10_R1.fastq.gz,11130,75485,Val,0.147446513
z0053025_GTseek_030_384i5_233_Mnov_E03_R1.fastq.gz,10905,73616,Val,0.148133558
z0187911_GTseek_030_384i5_303_Mnov_H07_R1.fastq.gz,7392,49550,Val,0.149182644
z0196843_GTseek_030_384i5_365_Mnov_G11_R1.fastq.gz,12755,85343,Val,0.149455726
z0196834_GTseek_030_384i5_361_Mnov_E11_R1.fastq.gz,12058,80606,Val,0.149591842
z0195699_GTseek_030_384i5_319_Mnov_H08_R1.fastq.gz,11706,78197,Val,0.149698838
z0196810_GTseek_030_384i5_357_Mnov_C11_R1.fastq.gz,11005,73233,Val,0.150273784
z0053040_GTseek_030_384i5_239_Mnov_H03_R1.fastq.gz,11670,77510,Val,0.150561218
z0012702_GTseek_030_384i5_193_Mnov_A01_R1.fastq.gz,14514,96189,Val,0.150890434
z0195701_GTseek_030_384i5_321_Mnov_A09_R1.fastq.gz,11290,74406,Val,0.151735075
z0040985_GTseek_030_384i5_209_Mnov_A02_R1.fastq.gz,12968,85271,Val,0.15207984
z0195704_GTseek_030_384i5_323_Mnov_B09_R1.fastq.gz,12333,81085,Val,0.152099649
z0063273_GTseek_030_384i5_289_Mnov_A07_R1.fastq.gz,11353,74408,Val,0.15257768
z0053846_GTseek_030_384i5_271_Mnov_H05_R1.fastq.gz,8567,56101,Val,0.152706725
z0040345_GTseek_030_384i5_201_Mnov_E01_R1.fastq.gz,14846,97215,Val,0.152713059
z0196746_GTseek_030_384i5_345_Mnov_E10_R1.fastq.gz,13859,90282,Val,0.153507897
z0197662_GTseek_030_384i5_377_Mnov_E12_R1.fastq.gz,15194,98651,Val,0.154017699
z0195688_GTseek_030_384i5_315_Mnov_F08_R1.fastq.gz,11245,72933,Val,0.154182606
z0053142_GTseek_030_384i5_265_Mnov_E05_R1.fastq.gz,12992,84163,Val,0.154367121
z0053102_GTseek_030_384i5_255_Mnov_H04_R1.fastq.gz,8290,53550,Val,0.15480859
z0196763_GTseek_030_384i5_347_Mnov_F10_R1.fastq.gz,9659,62359,Val,0.15489344
z0197665_GTseek_030_384i5_379_Mnov_F12_R1.fastq.gz,11190,71925,Val,0.155578728
z0053031_GTseek_030_384i5_235_Mnov_F03_R1.fastq.gz,10987,70531,Val,0.155775475
z0196740_GTseek_030_384i5_343_Mnov_D10_R1.fastq.gz,12891,82415,Val,0.156415701
z0053138_GTseek_030_384i5_263_Mnov_D05_R1.fastq.gz,10909,69518,Val,0.156923387
z0053024_GTseek_030_384i5_231_Mnov_D03_R1.fastq.gz,9702,61509,Val,0.157733015
z0196719_GTseek_030_384i5_333_Mnov_G09_R1.fastq.gz,13234,83879,Val,0.15777489
z0195726_GTseek_030_384i5_325_Mnov_C09_R1.fastq.gz,10756,67743,Val,0.158776553
z0195683_GTseek_030_384i5_313_Mnov_E08_R1.fastq.gz,12365,77872,Val,0.158786213
z0040333_GTseek_030_384i5_197_Mnov_C01_R1.fastq.gz,13972,87860,Val,0.159025723
z0051840_GTseek_030_384i5_227_Mnov_B03_R1.fastq.gz,13698,86052,Val,0.15918282
z0063328_GTseek_030_384i5_293_Mnov_C07_R1.fastq.gz,7602,47673,Val,0.15946133
z0053032_GTseek_030_384i5_237_Mnov_G03_R1.fastq.gz,12309,77177,Val,0.159490522
z0063269_GTseek_030_384i5_287_Mnov_H06_R1.fastq.gz,7749,48349,Val,0.160272188
z0195784_GTseek_030_384i5_331_Mnov_F09_R1.fastq.gz,12140,75228,Val,0.161376083
z0196828_GTseek_030_384i5_359_Mnov_D11_R1.fastq.gz,11643,71852,Val,0.162041418
z0043966_GTseek_030_384i5_217_Mnov_E02_R1.fastq.gz,13448,82929,Val,0.162162814
z0066792_GTseek_030_384i5_297_Mnov_E07_R1.fastq.gz,10355,63830,Val,0.162227793
z0053100_GTseek_030_384i5_251_Mnov_F04_R1.fastq.gz,11052,67885,Val,0.162804743
z0047562_GTseek_030_384i5_219_Mnov_F02_R1.fastq.gz,10189,62173,Val,0.163881428
z0195762_GTseek_030_384i5_327_Mnov_D09_R1.fastq.gz,9088,55263,Val,0.164449994
z0053111_GTseek_030_384i5_257_Mnov_A05_R1.fastq.gz,9825,59710,Val,0.164545302
z0066805_GTseek_030_384i5_299_Mnov_F07_R1.fastq.gz,13205,80138,Val,0.164778258
z0055996_GTseek_030_384i5_275_Mnov_B06_R1.fastq.gz,11866,71981,Val,0.164849057
z0075696_GTseek_030_384i5_301_Mnov_G07_R1.fastq.gz,11841,71748,Val,0.165035959
z0196764_GTseek_030_384i5_349_Mnov_G10_R1.fastq.gz,11140,67296,Val,0.165537328
z0051327_GTseek_030_384i5_223_Mnov_H02_R1.fastq.gz,10099,60855,Val,0.165951853
z0053131_GTseek_030_384i5_259_Mnov_B05_R1.fastq.gz,12281,73757,Val,0.16650623
z0056034_GTseek_030_384i5_281_Mnov_E06_R1.fastq.gz,11846,71036,Val,0.166760516
z0053101_GTseek_030_384i5_253_Mnov_G04_R1.fastq.gz,10256,61300,Val,0.16730832
z0047854_GTseek_030_384i5_221_Mnov_G02_R1.fastq.gz,12486,74553,Val,0.16747817
